Year,World,Africa,Americas,Asia,Europe,Oceania,Asia and Oceania,Northern America and Europe,"Europe, Northern America, Australia and New Zealand",Central and Southern Asia,Eastern and South-Eastern Asia,Western Asia and Northern Africa,Developing economies,Developing economies: Africa,Developing economies: Americas,Developing economies: Asia and Oceania,Developed economies,Developed economies: Americas,Developed economies: Asia and Oceania,Developed economies: Europe,Developing economies excluding China,Developing economies excluding LDCs,LDCs (Least developed countries),LDCs: Africa,LDCs: Asia,LDCs: Islands and Haiti,LLDCs (Landlocked developing countries),SIDS (Small island developing States) (UN-OHRLLS),SIDS: Atlantic and Indian Ocean,SIDS: Caribbean,SIDS: Pacific,BRICS,European Union (2020 â€¦),G20 (Group of Twenty),G-77 (Group of 77),OECD (Organisation for Economic Cooperation and Development)
1948,58662.0,4374.0,23082.0,7291.0,21674.0,2241.0,9532.0,37535.0,39702.0,2637.0,3805.0,2157.0,18654.0,4374.0,7221.0,7059.0,40008.0,15861.0,2473.0,21674.0,18134.0,17237.0,1416.0,1050.0,336.0,31.0,532.0,2322.0,71.0,1486.0,764.0,6940.0,12261.0,36091.0,16999.0,39591.0
1949,58654.0,4295.0,21318.0,7206.0,23637.0,2198.0,9404.0,38744.0,40871.0,2579.0,3571.0,2301.0,17200.0,4295.0,6211.0,6694.0,41454.0,15107.0,2710.0,23637.0,17200.0,15739.0,1460.0,1104.0,319.0,37.0,519.0,2135.0,67.0,1386.0,683.0,6528.0,13990.0,35526.0,15467.0,41178.0
1950,61862.0,4452.0,20230.0,10237.0,24689.0,2254.0,12491.0,37710.0,39893.0,2993.0,5868.0,2622.0,21055.0,4452.0,7209.0,9394.0,40807.0,13022.0,3096.0,24689.0,20505.0,19170.0,1885.0,1207.0,633.0,45.0,615.0,2743.0,60.0,1606.0,1078.0,8007.0,15171.0,35305.0,18908.0,40376.0
1951,82876.0,5554.0,26566.0,14060.0,33875.0,2821.0,16881.0,51765.0,54497.0,3823.0,8383.0,3374.0,26928.0,5554.0,8676.0,12699.0,55947.0,17890.0,4183.0,33875.0,26168.0,24382.0,2547.0,1643.0,847.0,57.0,825.0,3737.0,79.0,1994.0,1664.0,10279.0,22177.0,46556.0,24288.0,55323.0
1952,79801.0,5491.0,25922.0,11528.0,34352.0,2509.0,14037.0,52198.0,54601.0,2567.0,6759.0,3573.0,23810.0,5491.0,8076.0,10243.0,55992.0,17846.0,3794.0,34352.0,22990.0,21357.0,2453.0,1635.0,758.0,59.0,864.0,3224.0,86.0,1949.0,1189.0,9172.0,22145.0,44785.0,21309.0,54965.0
1953,80773.0,5520.0,25417.0,11374.0,35664.0,2799.0,14172.0,52325.0,55002.0,2409.0,6490.0,3800.0,24355.0,5520.0,8756.0,10080.0,56418.0,16661.0,4092.0,35664.0,23335.0,21910.0,2445.0,1681.0,717.0,47.0,856.0,3014.0,97.0,1928.0,989.0,9477.0,23370.0,44604.0,21925.0,54800.0
1954,85184.0,5909.0,25858.0,12173.0,38756.0,2488.0,14661.0,55824.0,58185.0,2525.0,6904.0,4099.0,25212.0,5909.0,8790.0,10513.0,59972.0,17067.0,4148.0,38756.0,24062.0,22525.0,2687.0,1870.0,752.0,65.0,983.0,3046.0,104.0,1938.0,1004.0,10058.0,25791.0,46171.0,22794.0,58039.0
1955,94012.0,6247.0,28026.0,13954.0,43123.0,2662.0,16616.0,61999.0,64512.0,2945.0,8193.0,4291.0,27331.0,6247.0,9150.0,11933.0,66682.0,18876.0,4683.0,43123.0,25921.0,24476.0,2854.0,2006.0,802.0,47.0,1083.0,3349.0,82.0,2018.0,1249.0,10975.0,29121.0,50640.0,24702.0,64604.0
1956,104228.0,6630.0,32354.0,15344.0,47071.0,2830.0,18173.0,69573.0,72255.0,3330.0,9097.0,4409.0,29278.0,6630.0,9852.0,12796.0,74950.0,22502.0,5377.0,47071.0,27628.0,26184.0,3093.0,2252.0,789.0,52.0,1127.0,3565.0,97.0,2200.0,1268.0,12098.0,31715.0,56421.0,26452.0,72579.0
1957,113386.0,6837.0,35180.0,16028.0,52159.0,3182.0,19211.0,77016.0,80018.0,3036.0,10046.0,4545.0,30292.0,6837.0,10322.0,13133.0,83094.0,24857.0,6078.0,52159.0,28078.0,27313.0,2979.0,2159.0,777.0,43.0,1109.0,3936.0,109.0,2511.0,1316.0,13360.0,35272.0,62498.0,27466.0,79652.0
1958,109363.0,6578.0,31292.0,16545.0,52413.0,2535.0,19080.0,74071.0,76435.0,2883.0,10138.0,5119.0,29851.0,6578.0,9634.0,13639.0,79512.0,21658.0,5441.0,52413.0,27125.0,27042.0,2809.0,1992.0,769.0,48.0,1021.0,3638.0,102.0,2340.0,1197.0,13157.0,35951.0,58349.0,27209.0,75829.0
1959,117961.0,6971.0,31522.0,18555.0,57912.0,3001.0,21556.0,79957.0,82785.0,3081.0,11830.0,5111.0,31467.0,6971.0,9477.0,15019.0,86494.0,22045.0,6537.0,57912.0,28295.0,28362.0,3105.0,2255.0,812.0,39.0,1165.0,3534.0,104.0,2134.0,1296.0,15218.0,39599.0,63256.0,28757.0,81694.0
1960,130343.0,7372.0,35263.0,19086.0,65540.0,3082.0,22168.0,91004.0,93901.0,3147.0,12180.0,5386.0,32085.0,7372.0,9799.0,14914.0,98258.0,25464.0,7254.0,65540.0,29514.0,28789.0,3296.0,2392.0,860.0,43.0,1225.0,3582.0,79.0,2182.0,1321.0,14767.0,46083.0,69433.0,29294.0,92917.0
1961,136297.0,7333.0,36310.0,18900.0,70419.0,3335.0,22235.0,96716.0,99871.0,3372.0,11623.0,5396.0,31854.0,7333.0,10014.0,14507.0,104443.0,26297.0,7727.0,70419.0,29912.0,28691.0,3163.0,2222.0,901.0,40.0,1257.0,3646.0,94.0,2292.0,1260.0,14897.0,49847.0,72248.0,28876.0,98577.0
1962,143435.0,7468.0,37615.0,19883.0,75144.0,3325.0,23208.0,102351.0,105506.0,3426.0,12135.0,5730.0,32619.0,7468.0,10408.0,14744.0,110815.0,27207.0,8464.0,75144.0,30706.0,29290.0,3329.0,2355.0,924.0,50.0,1317.0,3614.0,95.0,2232.0,1286.0,15693.0,52904.0,76103.0,29447.0,103853.0
1963,156901.0,9134.0,40174.0,21736.0,81931.0,3926.0,25662.0,111164.0,114878.0,3776.0,13300.0,7050.0,36071.0,9134.0,10942.0,15995.0,120830.0,29232.0,9666.0,81931.0,34040.0,32315.0,3756.0,2682.0,1023.0,51.0,1483.0,3786.0,127.0,2312.0,1347.0,16861.0,58162.0,82406.0,32637.0,113375.0
1964,175273.0,9981.0,45618.0,24276.0,91022.0,4375.0,28651.0,124776.0,128903.0,4311.0,14914.0,7777.0,39149.0,9981.0,11865.0,17303.0,136124.0,33754.0,11348.0,91022.0,36898.0,35403.0,3746.0,2674.0,1020.0,52.0,1651.0,3760.0,113.0,2493.0,1153.0,18190.0,65623.0,91953.0,35387.0,128205.0
1965,189903.0,10336.0,47520.0,27453.0,100333.0,4261.0,31714.0,135542.0,139554.0,4464.0,17464.0,8303.0,41224.0,10336.0,12311.0,18577.0,148679.0,35209.0,13136.0,100333.0,38661.0,37424.0,3800.0,2719.0,1031.0,50.0,1820.0,3747.0,107.0,2410.0,1230.0,19384.0,72901.0,99872.0,37184.0,139986.0
1966,207240.0,11121.0,52246.0,30431.0,108925.0,4516.0,34947.0,148348.0,152595.0,4831.0,19486.0,9107.0,44032.0,11121.0,12824.0,20087.0,163208.0,39423.0,14860.0,108925.0,41351.0,39775.0,4257.0,3176.0,1032.0,49.0,1861.0,3886.0,112.0,2403.0,1371.0,20793.0,79324.0,110066.0,39619.0,153753.0
1967,218878.0,11555.0,55495.0,31613.0,115456.0,4758.0,36371.0,157430.0,161901.0,5175.0,20171.0,9512.0,45578.0,11555.0,13522.0,20501.0,173300.0,41973.0,15871.0,115456.0,43190.0,41398.0,4180.0,3174.0,956.0,50.0,1856.0,4122.0,109.0,2586.0,1427.0,21741.0,84929.0,114935.0,40869.0,162652.0
1968,243021.0,13142.0,61098.0,35390.0,128501.0,4892.0,40281.0,175775.0,180311.0,4897.0,23513.0,11143.0,48555.0,13142.0,13823.0,21590.0,194466.0,47275.0,18691.0,128501.0,46216.0,44023.0,4532.0,3538.0,941.0,54.0,1961.0,4347.0,114.0,2606.0,1627.0,23389.0,95351.0,128479.0,43338.0,182767.0
1969,277313.0,14816.0,67135.0,41033.0,148498.0,5831.0,46864.0,200228.0,205659.0,5253.0,28218.0,12303.0,54214.0,14816.0,15405.0,23994.0,223098.0,51730.0,22870.0,148498.0,51785.0,49057.0,5158.0,4087.0,1013.0,58.0,2362.0,4790.0,123.0,2718.0,1949.0,25693.0,111030.0,145278.0,48058.0,210294.0
1970,318276.0,16180.0,77486.0,47007.0,171025.0,6579.0,53585.0,231133.0,237125.0,5870.0,32802.0,13431.0,60112.0,16180.0,17378.0,26555.0,258164.0,60108.0,27031.0,171025.0,57805.0,54619.0,5492.0,4482.0,949.0,61.0,2571.0,5688.0,173.0,3374.0,2140.0,28012.0,129645.0,166251.0,52993.0,243874.0
1971,354857.0,17413.0,79241.0,58704.0,192302.0,7198.0,65902.0,254338.0,260912.0,7185.0,39696.0,17211.0,67810.0,17413.0,17205.0,33192.0,287047.0,62036.0,32709.0,192302.0,65028.0,62333.0,5477.0,4668.0,736.0,73.0,2825.0,6040.0,180.0,3474.0,2385.0,31701.0,146337.0,184350.0,59503.0,271031.0
1972,419985.0,19654.0,89928.0,69855.0,231497.0,9051.0,78906.0,301942.0,310195.0,6195.0,49017.0,21024.0,77796.0,19654.0,19483.0,38658.0,342189.0,70444.0,40247.0,231497.0,74103.0,72357.0,5439.0,4688.0,682.0,69.0,2600.0,6945.0,164.0,3794.0,2986.0,35176.0,179828.0,218130.0,67474.0,323719.0
1973,582084.0,27942.0,125979.0,99863.0,315134.0,13166.0,113029.0,412460.0,424615.0,7619.0,69586.0,31436.0,115610.0,27942.0,28653.0,59015.0,466474.0,97326.0,54015.0,315134.0,109734.0,108515.0,7095.0,6171.0,836.0,88.0,3535.0,10347.0,197.0,5486.0,4664.0,51676.0,246939.0,297348.0,100606.0,441301.0
1974,842702.0,48511.0,181718.0,188154.0,409485.0,14834.0,202988.0,543561.0,557011.0,14691.0,102497.0,88408.0,223785.0,48511.0,47643.0,127631.0,618918.0,134076.0,75357.0,409485.0,216677.0,214620.0,9164.0,7891.0,1132.0,141.0,4616.0,19155.0,390.0,11572.0,7193.0,79802.0,321803.0,426492.0,203849.0,587621.0
1975,877301.0,44379.0,188459.0,181129.0,448056.0,15277.0,196407.0,591116.0,605226.0,14583.0,102207.0,80112.0,209220.0,44379.0,45399.0,119441.0,668081.0,143060.0,76965.0,448056.0,201531.0,201422.0,7798.0,6625.0,1032.0,141.0,3980.0,20083.0,369.0,13170.0,6543.0,86504.0,347065.0,454257.0,190375.0,628190.0
1976,993853.0,50829.0,209198.0,221529.0,495092.0,17206.0,238734.0,652625.0,668613.0,17034.0,126712.0,96720.0,247551.0,50829.0,51664.0,145058.0,746302.0,157534.0,93676.0,495092.0,240608.0,238983.0,8568.0,7202.0,1184.0,183.0,4895.0,21908.0,352.0,13753.0,7803.0,95534.0,384962.0,509178.0,222086.0,702243.0
1977,1131232.0,59676.0,226793.0,255945.0,570803.0,18014.0,273960.0,737664.0,754227.0,18433.0,152094.0,107374.0,282467.0,59676.0,59932.0,162859.0,848765.0,166861.0,111101.0,570803.0,274948.0,272791.0,9677.0,8178.0,1288.0,211.0,5346.0,24901.0,410.0,14799.0,9692.0,112922.0,438027.0,584822.0,253937.0,795753.0
1978,1310763.0,59687.0,259001.0,289753.0,682686.0,19636.0,309389.0,877112.0,895265.0,18674.0,184705.0,107483.0,300303.0,59687.0,64575.0,176040.0,1010460.0,194426.0,133349.0,682686.0,290348.0,290706.0,9597.0,7948.0,1421.0,227.0,5098.0,27493.0,430.0,15447.0,11617.0,126048.0,522378.0,684679.0,263874.0,951033.0
1979,1664428.0,87324.0,329404.0,374482.0,847920.0,25297.0,399779.0,1092778.0,1116147.0,20805.0,217022.0,168406.0,425926.0,87324.0,84547.0,254055.0,1238502.0,244857.0,145725.0,847920.0,412312.0,413378.0,12548.0,10110.0,2142.0,297.0,6954.0,35083.0,499.0,18422.0,16161.0,160225.0,650107.0,858155.0,378153.0,1167309.0
1980,2050522.0,121508.0,405294.0,509701.0,984403.0,29616.0,539317.0,1277931.0,1305296.0,26137.0,280048.0,247558.0,591204.0,121508.0,111766.0,357930.0,1459318.0,293529.0,181387.0,984403.0,573104.0,576000.0,15187.0,12043.0,2830.0,315.0,8386.0,46050.0,545.0,23879.0,21626.0,208105.0,740432.0,1076657.0,523276.0,1381586.0
1981,2027785.0,100056.0,432882.0,538569.0,927091.0,29187.0,567756.0,1238754.0,1265854.0,25751.0,313912.0,237648.0,582935.0,100056.0,121218.0,361661.0,1444849.0,311664.0,206095.0,927091.0,560928.0,569096.0,13819.0,10803.0,2779.0,238.0,7911.0,48429.0,429.0,24945.0,23055.0,213382.0,688538.0,1125405.0,503375.0,1367378.0
1982,1897887.0,85240.0,396729.0,482582.0,904500.0,28836.0,511418.0,1192371.0,1219303.0,34828.0,300272.0,181516.0,512547.0,85240.0,108858.0,318449.0,1385340.0,287871.0,192969.0,904500.0,490226.0,499575.0,12956.0,9852.0,2846.0,257.0,7623.0,44901.0,456.0,21751.0,22693.0,221172.0,666629.0,1032441.0,432714.0,1302928.0
1983,1857898.0,82007.0,391256.0,461436.0,895935.0,27264.0,488700.0,1178532.0,1204059.0,36370.0,316613.0,140946.0,476817.0,82007.0,108659.0,286151.0,1381081.0,282597.0,202549.0,895935.0,454591.0,463820.0,12981.0,10046.0,2685.0,250.0,7409.0,44566.0,459.0,20537.0,23570.0,225934.0,659149.0,1003673.0,391527.0,1295999.0
1984,1968129.0,82507.0,432964.0,502689.0,919327.0,30643.0,533331.0,1233793.0,1262422.0,32291.0,366115.0,135962.0,500382.0,82507.0,118499.0,299377.0,1467747.0,314465.0,233955.0,919327.0,474243.0,486777.0,13587.0,10578.0,2718.0,290.0,7482.0,45712.0,496.0,19133.0,26083.0,229537.0,679370.0,1077328.0,399700.0,1386120.0
1985,1965697.0,83635.0,419720.0,494761.0,937320.0,30260.0,525021.0,1247289.0,1275613.0,29158.0,371077.0,127672.0,475902.0,83635.0,109751.0,282516.0,1489795.0,309969.0,242506.0,937320.0,448552.0,462717.0,13163.0,10235.0,2669.0,259.0,7176.0,40569.0,554.0,15267.0,24748.0,218461.0,690889.0,1074299.0,377478.0,1410959.0
1986,2141453.0,69138.0,412826.0,516734.0,1112267.0,30487.0,547221.0,1430096.0,1458545.0,22798.0,423406.0,94038.0,429831.0,69138.0,94997.0,265695.0,1711622.0,317829.0,281526.0,1112267.0,398889.0,417630.0,12170.0,9660.0,2238.0,272.0,7805.0,40308.0,828.0,14947.0,24533.0,213565.0,842040.0,1164244.0,321550.0,1619030.0
1987,2520515.0,78956.0,458993.0,622954.0,1323458.0,36153.0,659108.0,1676154.0,1709970.0,30594.0,508363.0,110067.0,522956.0,78956.0,106298.0,337702.0,1997560.0,352696.0,321406.0,1323458.0,483519.0,509655.0,13245.0,10799.0,2155.0,291.0,9147.0,46769.0,1005.0,14741.0,31023.0,251580.0,1005523.0,1344556.0,378636.0,1899525.0
